"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/11/23","21.2","23","21.2","22.8","1.6000000000000014","7.55","335"
"2022/11/22","21.2","21.25","21.1","21.2","-0.25","-1.17","37"
"2022/11/21","21.5","21.85","21.25","21.45","0.1999999999999993","0.94","44"
"2022/11/18","21.4","21.4","21.15","21.25","-0.10000000000000142","-0.47","25"
"2022/11/17","22.9","22.9","21.1","21.35","0.25","1.18","81"
"2022/11/16","21.1","21.2","21.05","21.1","-0.09999999999999787","-0.47","38"
"2022/11/15","21.1","21.2","21.05","21.2","-0.05000000000000071","-0.24","56"
"2022/11/14","21.45","21.45","21.2","21.25","0.14999999999999858","0.71","32"
"2022/11/11","21.15","21.45","21.1","21.1","-0.04999999999999716","-0.24","42"
"2022/11/10","21.2","21.3","21.05","21.15","-0.05000000000000071","-0.24","37"
"2022/11/09","21.2","21.35","21.15","21.2","0","0.00","44"
"2022/11/08","21.45","21.45","21.1","21.2","-0.10000000000000142","-0.47","25"
"2022/11/07","21.2","21.4","21.15","21.3","0.10000000000000142","0.47","25"
"2022/11/04","21","21.25","20.95","21.2","0.14999999999999858","0.71","29"
"2022/11/03","21","21.25","20.8","21.05","0.10000000000000142","0.48","50"
"2022/11/02","21","21.15","20.95","20.95","0","0.00","36"
"2022/11/01","20.9","20.95","20.85","20.95","0.05000000000000071","0.24","33"
"2022/10/31","21.3","21.3","20.75","20.9","0.14999999999999858","0.72","10"
"2022/10/28","21","21.2","20.75","20.75","-0.1999999999999993","-0.95","29"
"2022/10/27","21","21","20.8","20.95","0.09999999999999787","0.48","27"
"2022/10/26","20.75","20.9","20.75","20.85","-0.04999999999999716","-0.24","14"
"2022/10/25","20.9","21.1","20.75","20.9","0","0.00","21"
"2022/10/24","21.15","21.15","20.9","20.9","-0.10000000000000142","-0.48","55"
"2022/10/21","21.2","21.2","21","21","-0.25","-1.18","47"
"2022/10/20","21.35","21.35","21.2","21.25","-0.1999999999999993","-0.93","24"
"2022/10/19","21.45","21.6","21.4","21.45","0","0.00","22"
