Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-12-31,256.74293814336943,259.9377032107643,255.00033901569952,258.7759704589844,260440,0.0,0.0
2000-01-03,258.48572407128677,258.48572407128677,241.6405869969782,246.2875213623047,1681920,0.0,0.0
2000-01-04,241.64045692328833,242.51175664777134,231.1848602294922,231.1848602294922,2403280,0.0,0.0
2000-01-05,236.41269377924968,241.64049290458937,230.02316151494563,240.478759765625,1742547,0.0,0.0
2000-01-06,238.44566283687467,254.12905600763136,238.15522963000882,252.0960235595703,1863280,0.0,0.0
2000-01-07,250.93434143066406,255.2908404138353,245.4161093853138,250.93434143066406,1394587,0.0,0.0
2000-01-10,255.29084825681895,255.29084825681895,248.90131621853678,250.06304931640625,850320,0.0,0.0
2000-01-11,248.02997325224035,252.6769048354205,245.70650746065027,246.8682403564453,996653,0.0,0.0
2000-01-12,248.9012884833596,255.5812530517578,248.32042199915105,255.5812530517578,1145773,0.0,0.0
2000-01-13,255.58129334181882,260.51865923592214,254.12912690237667,258.4856262207031,1237987,0.0,0.0
2000-01-14,262.5516957250135,272.13599435214337,262.26126243328224,269.5220947265625,2225493,0.0,0.0
2000-01-18,269.8123964162973,273.8784605172964,265.7463323152982,271.8454284667969,1571720,0.0,0.0
2000-01-19,269.5220441618724,279.3967742281479,268.9411776873856,277.6541748046875,1955293,0.0,0.0
2000-01-20,278.2351885200405,279.106488692859,265.746552709642,272.3539123535156,1358293,0.0,0.0
2000-01-21,270.3933931099352,271.8455595605793,259.6473613751687,262.2612609863281,1547960,0.0,0.0
2000-01-24,264.8751089370399,264.8751089370399,253.83864606466327,256.4525451660156,1143213,0.0,0.0
2000-01-25,264.0037447526151,267.1985095406005,256.16204936392353,259.6472473144531,1541867,0.0,0.0
2000-01-26,262.55167091943883,272.1359686410555,261.6803711265646,270.1029357910156,1334387,0.0,0.0
2000-01-27,272.42637640742936,276.4924417269432,268.3603110879155,274.1689758300781,1449120,0.0,0.0
2000-01-28,267.19861410773944,271.84554652700444,260.2282154788419,260.80908203125,1207120,0.0,0.0
2000-01-31,263.1325528998124,269.2316518080862,261.38995321173417,264.8751525878906,1360480,0.0,0.0
2000-02-01,267.4890414061976,271.8455404519012,266.9081748667705,270.6838073730469,1197400,0.0,0.0
2000-02-02,270.9743435351879,272.4265104351622,264.87524255529627,268.3604431152344,1318920,0.0,0.0
2000-02-03,269.3971428569493,270.27086332026914,256.2913359071518,262.4073791503906,1900267,1.2,0.0
2000-02-04,265.02861771953707,269.1059810690684,252.5052874316908,255.12644958496094,1466240,0.0,0.0
2000-02-07,257.7476322568696,261.8249959309896,252.50530753300106,253.3790283203125,1244160,0.0,0.0
2000-02-08,257.7475001130785,261.8248616967882,256.87377977371216,260.9511413574219,1320587,0.0,0.0
2000-02-09,256.8739606071921,259.7863637886795,251.34039456236596,252.50535583496094,1265280,0.0,0.0
2000-02-10,253.96143047079636,257.16507236893716,246.9716663293983,250.17530822753906,1124307,0.0,0.0
2000-02-11,252.50517479578656,257.16501654518976,246.38913249969482,251.63145446777344,1326307,0.0,0.0
2000-02-14,252.79641490512424,254.25261545181274,242.60301107830472,251.63145446777344,1153773,0.0,0.0
2000-02-15,246.38920652350424,256.0001330191019,245.51548593299535,255.70889282226562,1403133,0.0,0.0
2000-02-16,252.21387725332124,255.70875776953355,247.26279652202047,249.8839569091797,910360,0.0,0.0
2000-02-17,252.79640045166013,255.1263211931501,243.18547739301408,244.6416778564453,1287480,0.0,0.0
2000-02-18,244.35048570783576,245.515446307158,232.70087971461356,239.69064331054688,2039120,0.0,0.0
2000-02-22,239.39949540530935,244.0593395981134,232.99220964020375,237.6520538330078,1947453,0.0,0.0
2000-02-23,237.06955382926333,240.85567692481666,235.3221124005464,237.3607940673828,1555347,0.0,0.0
2000-02-24,232.99211995855808,234.73956085824724,223.67243516021574,229.4972381591797,3156653,0.0,0.0
2000-02-25,230.07967591285706,236.19571793079376,219.595032453537,223.67239379882812,1884933,0.0,0.0
2000-02-28,230.66215032460738,235.90447192289392,228.3322296142578,228.3322296142578,3225133,0.0,0.0
2000-02-29,235.32209210234564,242.8943376402924,234.44837146335178,241.1468963623047,2547773,0.0,0.0
2000-03-01,248.1365424426358,248.1365424426358,238.81686009737248,240.56430053710938,1671987,0.0,0.0
2000-03-02,242.0205381263807,242.31177824446297,232.99209446582978,239.9818572998047,1161320,0.0,0.0
2000-03-03,249.30155507584064,250.7577557480126,246.38915373149672,249.01031494140625,1851347,0.0,0.0
2000-03-06,251.63152776478296,252.79648854147175,237.94323863868942,243.18556213378906,1241707,0.0,0.0
2000-03-07,246.09786495085686,246.38910502772177,234.739501953125,234.739501953125,1145400,0.0,0.0
2000-03-08,236.48708932706623,237.3608101004421,229.2060828822674,235.32212829589844,1180720,0.0,0.0
2000-03-09,228.6234603389617,234.739501953125,226.0022996471774,234.739501953125,1507347,0.0,0.0
2000-03-10,232.11835076857585,236.19571201168762,227.16726925908304,228.3322296142578,1227107,0.0,0.0
2000-03-13,223.3812117212556,232.7008972167969,222.5074912060486,232.70089721679688,1928827,0.0,0.0
2000-03-14,233.57460462867314,234.73956525026253,229.49724245311026,231.82716369628906,1192147,0.0,0.0
2000-03-15,229.78847406925766,243.4767608642578,227.74979305723636,243.4767608642578,2380000,0.0,0.0
2000-03-16,249.88411292944824,265.61108507186105,245.80674978141528,261.5337219238281,3432440,0.0,0.0
2000-03-17,263.57240241870545,269.10596666837995,261.5337208530359,265.611083984375,1960440,0.0,0.0
2000-03-20,261.53361950832954,267.64966183536177,257.7474980677858,261.8248596191406,1368040,0.0,0.0
2000-03-21,262.40737895329113,271.14458357992675,259.203737256858,270.5621032714844,2067453,0.0,0.0
2000-03-22,271.43582581865024,274.9307076961436,268.5234242540725,273.7657470703125,1489867,0.0,0.0
2000-03-23,273.7656947544643,288.0364596937927,270.85329374643806,287.4539794921875,2188560,0.0,0.0
2000-03-24,288.03653448555616,290.65769607339234,277.8431283106376,282.21173095703125,1836480,0.0,0.0
2000-03-27,282.2117575686134,287.45408123861864,271.727110228603,279.8818359375,1287347,0.0,0.0
2000-03-28,275.51319191104074,288.32775897667057,275.2219517504583,284.2503967285156,1432693,0.0,0.0
2000-03-29,284.25040991512344,285.9978509596836,277.2606457368827,283.08544921875,1127707,0.0,0.0
2000-03-30,280.1730344803607,284.2503967285156,273.47451078696326,284.2503967285156,1165987,0.0,0.0
2000-03-31,279.88186890795237,283.08551152812663,275.5132653349874,279.0081481933594,1165853,0.0,0.0
2000-04-03,279.5905328566028,290.9488982539023,279.00805257981824,288.91021728515625,1635680,0.0,0.0
2000-04-04,288.91025349245234,294.44381681539244,260.95119670286016,274.93072509765625,2371267,0.0,0.0
2000-04-05,273.765696890184,277.26057812708,270.2708156532881,273.4744567871094,1242960,0.0,0.0
2000-04-06,277.2607141460584,279.0081556217688,274.0570714405892,276.3869934082031,850773,0.0,0.0
2000-04-07,278.42560719635526,279.5905678959216,274.0570045729815,274.93072509765625,946347,0.0,0.0
2000-04-10,274.9307650523971,291.8226976509554,274.34828461796405,290.07525634765625,1570227,0.0,0.0
2000-04-11,289.4926614695582,295.60870361328125,285.99778024457356,295.60870361328125,1530827,0.0,0.0
2000-04-12,299.10360006302125,304.92840240115214,291.53135702345105,293.5700378417969,2113693,0.0,0.0
2000-04-13,293.57002226289336,293.57002226289336,286.58025982806254,291.5313415527344,1447773,0.0,0.0
2000-04-14,283.95919388738173,283.95919388738173,265.9023015581328,270.2709045410156,2168360,0.0,0.0
2000-04-17,266.7760464310143,278.71689567083047,264.44612462812336,276.0957336425781,1990613,0.0,0.0
2000-04-18,277.84304183253823,293.5700064645687,276.3868414036465,289.4926452636719,1495307,0.0,0.0
2000-04-19,289.201506992556,289.49274718086673,268.23221343418334,277.8431396484375,2383360,0.0,0.0
2000-04-20,283.6678730244539,285.4153137207031,278.4255509357063,285.4153137207031,1038427,0.0,0.0
2000-04-24,282.50299621520315,289.4927610700123,281.9205158106357,288.03656005859375,1076920,0.0,0.0
2000-04-25,290.36646885834926,300.55987548828125,290.0752286689226,300.55987548828125,1270547,0.0,0.0
2000-04-26,295.6087449645996,298.8123865356445,288.9102216796875,291.2401428222656,1122773,0.0,0.0
2000-04-27,286.7319425257241,289.35983201934073,281.1841758169779,287.31591796875,1119120,1.2,0.0
2000-04-28,292.57166930376474,292.86365699768066,275.3443953627247,275.6363830566406,1106813,0.0,0.0
2000-05-01,281.1840911390868,289.65173251295334,275.92831373461786,281.76806640625,895467,0.0,0.0
2000-05-02,282.06008237124956,288.48381095527384,279.4321934050578,285.5639343261719,828907,0.0,0.0
2000-05-03,284.10389192386873,292.5715310459573,279.1401034729892,280.89202880859375,1189093,0.0,0.0
2000-05-04,279.43210216270074,282.0599902708139,271.2564502707931,273.88433837890625,1250440,0.0,0.0
2000-05-05,270.6725425440017,280.01614703311503,270.6725425440017,278.26422119140625,800613,0.0,0.0
2000-05-08,277.09622358378004,282.3520002165599,275.63628563023013,279.14013671875,973013,0.0,0.0
2000-05-09,282.0600249346565,284.39592576227267,275.05232245180787,277.9721984863281,947107,0.0,0.0
2000-05-10,273.0084294417372,276.5122809425937,263.37283781438174,263.6648254394531,1285667,0.0,0.0
2000-05-11,269.5045728744215,277.6802262227247,266.2927090590167,275.0523376464844,1112933,0.0,0.0
2000-05-12,275.0524314809069,284.6880262143144,272.42454200815934,281.1841735839844,1167787,0.0,0.0
2000-05-15,281.7680698645044,294.61552589977714,280.01614404151263,293.73956298828125,1219827,0.0,0.0
2000-05-16,295.19950639440657,296.075469321393,286.1478894822141,288.1918029785156,1153960,0.0,0.0
2000-05-17,287.8998002644815,291.9876270430847,284.39594873996447,285.27191162109375,943093,0.0,0.0
2000-05-18,289.65173203521573,294.615521797916,286.7318557042156,287.6078186035156,1080640,0.0,0.0
2000-05-19,284.39606157351767,286.7319635166266,281.1841964017428,284.68804931640625,1020707,0.0,0.0
2000-05-22,286.7319596627923,287.89991061864885,278.264315232832,286.4399719238281,855747,0.0,0.0
2000-05-23,284.97998340725303,295.49154017227465,284.97998340725303,291.1117248535156,1079240,0.0,0.0
2000-05-24,289.06780452689424,295.1995458350405,281.7681124933868,286.7319030761719,1673520,0.0,0.0
2000-05-25,280.89216058460346,284.97998828541887,271.54855441131104,273.59246826171875,1550400,0.0,0.0
2000-05-26,271.25651389846473,274.176390259051,266.58471172152673,272.1324768066406,1184347,0.0,0.0
2000-05-30,277.9722271696891,284.10396747490284,276.80427663536267,281.76806640625,944813,0.0,0.0
2000-05-31,283.22801875588885,290.5277099609375,282.9360311076869,290.5277099609375,995707,0.0,0.0
2000-06-01,294.3235092238401,300.16326139097976,292.5715835736982,295.783447265625,1467267,0.0,0.0
2000-06-02,307.17102279806227,312.42680075468314,306.2950598052921,311.25885009765625,1509587,0.0,0.0
2000-06-05,307.46305748122205,310.96690998813057,306.5870943544949,310.3829345703125,1043333,0.0,0.0
2000-06-06,307.7550198914575,308.04700757636397,298.99538934426226,302.7912292480469,895613,0.0,0.0
2000-06-07,305.4191391077419,310.9669054968883,301.9152866514389,310.0909423828125,970613,0.0,0.0
2000-06-08,309.21499784602673,309.506985568261,299.8713907345321,301.3313293457031,946040,0.0,0.0
2000-06-09,303.37511426210403,306.87896543741226,297.82734990119934,298.99530029296875,858200,0.0,0.0
2000-06-12,301.0392134785652,303.37511426210403,297.82734990119934,298.99530029296875,688467,0.0,0.0
2000-06-13,301.91524144222865,306.00306869579845,297.2434388667203,305.1271057128906,870480,0.0,0.0
2000-06-14,305.71106025226953,315.9306276914572,305.12708497003024,313.5947265625,1204307,0.0,0.0
2000-06-15,313.88673433219304,314.17872199203697,302.20722793843703,303.08319091796875,1337400,0.0,0.0
2000-06-16,303.0831848327089,305.4190860645602,288.77578978761954,292.8636169433594,1961267,0.0,0.0
2000-06-19,294.3234614158163,301.9151379999544,293.4474987330311,300.4552001953125,964533,0.0,0.0
