Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-03,16.575275421142578,16.575275421142578,16.575275421142578,16.575275421142578,0,0.0,0
2012-01-04,16.585067749023438,16.585067749023438,16.585067749023438,16.585067749023438,0,0.0,0
2012-01-05,16.663394927978516,16.663394927978516,16.663394927978516,16.663394927978516,0,0.0,0
2012-01-06,16.653600692749023,16.653600692749023,16.653600692749023,16.653600692749023,0,0.0,0
2012-01-09,16.731924057006836,16.731924057006836,16.731924057006836,16.731924057006836,0,0.0,0
2012-01-10,16.878782272338867,16.878782272338867,16.878782272338867,16.878782272338867,0,0.0,0
2012-01-11,16.89836311340332,16.89836311340332,16.89836311340332,16.89836311340332,0,0.0,0
2012-01-12,16.976686477661133,16.976686477661133,16.976686477661133,16.976686477661133,0,0.0,0
2012-01-13,16.86899185180664,16.86899185180664,16.86899185180664,16.86899185180664,0,0.0,0
2012-01-17,16.89836311340332,16.89836311340332,16.89836311340332,16.89836311340332,0,0.0,0
2012-01-18,17.133337020874023,17.133337020874023,17.133337020874023,17.133337020874023,0,0.0,0
2012-01-19,17.241029739379883,17.241029739379883,17.241029739379883,17.241029739379883,0,0.0,0
2012-01-20,17.3095645904541,17.3095645904541,17.3095645904541,17.3095645904541,0,0.0,0
2012-01-23,17.3095645904541,17.3095645904541,17.3095645904541,17.3095645904541,0,0.0,0
2012-01-24,17.38788414001465,17.38788414001465,17.38788414001465,17.38788414001465,0,0.0,0
2012-01-25,17.38788414001465,17.38788414001465,17.38788414001465,17.38788414001465,0,0.0,0
2012-01-26,17.427043914794922,17.427043914794922,17.427043914794922,17.427043914794922,0,0.0,0
2012-01-27,17.436840057373047,17.436840057373047,17.436840057373047,17.436840057373047,0,0.0,0
2012-01-30,17.378095626831055,17.378095626831055,17.378095626831055,17.378095626831055,0,0.0,0
2012-01-31,17.378095626831055,17.378095626831055,17.378095626831055,17.378095626831055,0,0.0,0
2012-02-01,17.59348487854004,17.59348487854004,17.59348487854004,17.59348487854004,0,0.0,0
2012-02-02,17.642438888549805,17.642438888549805,17.642438888549805,17.642438888549805,0,0.0,0
2012-02-03,17.906784057617188,17.906784057617188,17.906784057617188,17.906784057617188,0,0.0,0
2012-02-06,17.8872013092041,17.8872013092041,17.8872013092041,17.8872013092041,0,0.0,0
2012-02-07,17.945945739746094,17.945945739746094,17.945945739746094,17.945945739746094,0,0.0,0
2012-02-08,17.994895935058594,17.994895935058594,17.994895935058594,17.994895935058594,0,0.0,0
2012-02-09,17.85782814025879,17.85782814025879,17.85782814025879,17.85782814025879,0,0.0,0
2012-02-10,17.691390991210938,17.691390991210938,17.691390991210938,17.691390991210938,0,0.0,0
