Date	Open	High	Low	Close	Volume	OpenInt
2016/07/26 	91.82965087890625	95.19513702392578	62.50185775756836	91.82965087890625	1592440	77.00904083251953
2016/07/27 	92.02677154541016	95.57976531982422	88.61321258544922	92.02677154541016	905569	77.1743392944336
2016/07/28 	88.46416473388672	92.02677154541016	88.2237777709961	88.46416473388672	395718	74.18671417236328
2016/07/29 	86.06024932861328	88.15165710449219	82.69476318359375	86.06024932861328	319251	72.1707763671875
2016/08/01 	85.09867858886719	89.18534088134766	84.13711547851562	85.09867858886719	284416	71.3643798828125
2016/08/02 	84.6178970336914	85.09867858886719	81.73319244384766	84.6178970336914	299941	70.96121215820312
2016/08/03 	82.69476318359375	85.5794677734375	82.21398162841797	82.69476318359375	161971	69.34845733642578
2016/08/04 	81.73319244384766	84.37269592285156	80.77643585205078	81.73319244384766	254962	68.54206848144531
2016/08/05 	83.17554473876953	84.52174377441406	81.73319244384766	83.17554473876953	212914	69.75163269042969
2016/08/08 	87.26220703125	90.19498443603516	83.99288177490234	87.26220703125	409011	73.1787338256836
2016/08/09 	83.65633392333984	87.98338317871094	82.21398162841797	83.65633392333984	212796	70.15483093261719
2016/08/10 	83.65633392333984	84.6178970336914	81.73319244384766	83.65633392333984	156351	70.15483093261719
2016/08/11 	81.73800659179688	83.17554473876953	81.25241088867188	81.73800659179688	80350	68.54610443115234
2016/08/12 	81.73319244384766	84.13711547851562	81.06009674072266	81.73319244384766	187812	68.54206848144531
2016/08/15 	81.97358703613281	82.69476318359375	79.9591064453125	81.97358703613281	145855	68.74366760253906
2016/08/16 	77.40614318847656	80.7716293334961	76.92536163330078	77.40614318847656	221964	64.91336822509766
2016/08/17 	81.73319244384766	82.69476318359375	76.92536163330078	81.73319244384766	255096	68.54206848144531
2016/08/18 	82.40629577636719	84.13711547851562	81.73319244384766	82.40629577636719	229221	69.10653686523438
2016/08/19 	81.73319244384766	83.17554473876953	80.96394348144531	81.73319244384766	76381	68.54206848144531
2016/08/22 	80.77643585205078	82.21398162841797	80.7716293334961	80.77643585205078	70495	67.7397232055664
2016/08/23 	78.84849548339844	80.7716293334961	77.40614318847656	78.84849548339844	60174	66.12294006347656
2016/08/24 	78.83406829833984	79.81005859375	77.88692474365234	78.83406829833984	100910	66.11083984375
2016/08/25 	80.91586303710938	81.73319244384766	79.32927703857422	80.91586303710938	218135	67.85665130615234
2016/08/26 	80.29084777832031	81.73319244384766	79.81005859375	80.29084777832031	109159	67.33251953125
2016/08/29 	78.84849548339844	80.7716293334961	78.36771392822266	78.84849548339844	65936	66.12294006347656
