Date	Open	High	Low	Close	Volume	Date
2020/09/28 	121.0	124.0	116.0	119.0	202128	2020/09/28 
2020/09/29 	116.0	116.0	105.0	110.0	40478	2020/09/29 
2020/09/30 	107.5	107.5	104.0	106.0	60795	2020/09/30 
2020/10/05 	105.5	108.0	105.0	108.0	19000	2020/10/05 
2020/10/06 	109.0	114.5	109.0	113.5	32650	2020/10/06 
2020/10/07 	112.5	118.0	112.5	117.5	41908	2020/10/07 
2020/10/08 	118.5	121.5	118.0	120.5	99680	2020/10/08 
2020/10/12 	121.5	121.5	118.0	119.0	84280	2020/10/12 
2020/10/13 	117.0	117.0	117.0	117.0	2000	2020/10/13 
2020/10/14 	117.5	119.0	117.0	118.5	11650	2020/10/14 
2020/10/15 	119.0	120.0	118.0	118.5	61250	2020/10/15 
2020/10/16 	119.0	119.0	116.5	116.5	97860	2020/10/16 
2020/10/19 	119.0	119.0	118.5	119.0	26000	2020/10/19 
2020/10/20 	119.5	119.5	118.0	118.5	86150	2020/10/20 
2020/10/21 	119.0	120.0	119.0	120.0	83300	2020/10/21 
2020/10/22 	120.0	120.0	119.0	119.0	58000	2020/10/22 
2020/10/23 	119.0	119.5	118.5	119.0	61150	2020/10/23 
2020/10/26 	119.5	119.5	118.5	119.5	59350	2020/10/26 
2020/10/27 	119.5	119.5	118.0	118.0	34402	2020/10/27 
2020/10/28 	119.0	119.0	118.5	118.5	24650	2020/10/28 
2020/10/29 	118.0	118.5	117.5	118.0	16500	2020/10/29 
2020/10/30 	119.0	119.0	118.0	118.5	43000	2020/10/30 
2020/11/02 	119.0	119.5	118.0	119.0	107200	2020/11/02 
2020/11/03 	120.0	120.0	119.0	119.5	84350	2020/11/03 
2020/11/04 	118.5	120.0	118.5	119.5	45100	2020/11/04 
2020/11/05 	120.0	120.0	119.0	119.0	27150	2020/11/05 
2020/11/06 	119.5	119.5	117.0	117.5	43400	2020/11/06 
2020/11/09 	118.5	119.5	118.5	118.5	18001	2020/11/09 
2020/11/10 	119.5	121.0	119.5	120.5	83920	2020/11/10 
2020/11/11 	121.5	132.0	121.5	129.0	158516	2020/11/11 
2020/11/12 	129.5	138.0	128.5	137.0	177759	2020/11/12 
2020/11/13 	138.0	138.0	130.5	136.5	63744	2020/11/13 
2020/11/16 	136.0	136.5	132.5	136.0	53570	2020/11/16 
2020/11/17 	134.5	137.5	134.0	136.0	73000	2020/11/17 
2020/11/18 	136.5	136.5	135.0	135.0	30800	2020/11/18 
2020/11/19 	134.0	135.5	133.5	134.5	32250	2020/11/19 
2020/11/20 	135.5	137.5	135.0	137.5	32001	2020/11/20 
2020/11/23 	137.0	138.0	133.0	135.0	53033	2020/11/23 
2020/11/24 	135.0	135.0	132.5	132.5	46432	2020/11/24 
2020/11/25 	133.0	133.0	132.5	133.0	24300	2020/11/25 
2020/11/26 	133.5	135.0	133.5	134.5	32250	2020/11/26 
2020/11/27 	134.5	134.5	133.0	134.0	38700	2020/11/27 
2020/11/30 	134.0	136.5	133.5	136.0	40000	2020/11/30 
2020/12/01 	137.5	138.0	135.5	137.0	40730	2020/12/01 
2020/12/02 	135.5	136.0	134.5	136.0	23445	2020/12/02 
2020/12/03 	136.0	136.5	136.0	136.5	17030	2020/12/03 
2020/12/04 	137.5	142.5	137.0	139.0	104688	2020/12/04 
2020/12/07 	138.0	139.0	137.0	138.5	31350	2020/12/07 
2020/12/08 	138.5	139.0	137.0	137.5	32001	2020/12/08 
2020/12/09 	137.5	139.0	137.5	138.0	16718	2020/12/09 
2020/12/10 	138.0	138.0	135.5	136.0	39050	2020/12/10 
2020/12/11 	138.5	138.5	136.0	136.0	82300	2020/12/11 
2020/12/14 	137.0	137.5	135.5	137.5	27081	2020/12/14 
2020/12/15 	136.0	136.5	134.5	134.5	27520	2020/12/15 
2020/12/16 	135.0	136.5	134.5	136.0	89476	2020/12/16 
2020/12/17 	135.0	135.0	134.5	135.0	17000	2020/12/17 
2020/12/18 	136.0	136.0	134.5	135.5	30000	2020/12/18 
2020/12/21 	135.0	136.5	135.0	135.5	24300	2020/12/21 
2020/12/22 	136.5	137.5	136.0	136.5	40300	2020/12/22 
2020/12/23 	136.0	136.0	135.0	135.0	17000	2020/12/23 
2020/12/24 	135.0	136.0	135.0	136.0	24000	2020/12/24 
2020/12/25 	138.0	138.0	136.0	136.5	6100	2020/12/25 
2020/12/28 	135.5	137.0	135.5	137.0	1050	2020/12/28 
2020/12/29 	136.5	136.5	136.0	136.5	11000	2020/12/29 
2020/12/30 	137.0	137.0	136.0	136.0	7250	2020/12/30 
2020/12/31 	136.0	136.0	136.0	136.0	0	2020/12/31 
2021/01/04 	136.0	136.5	136.0	136.5	8700	2021/01/04 
2021/01/05 	136.0	137.0	136.0	137.0	6300	2021/01/05 
2021/01/06 	136.0	136.5	136.0	136.0	5310	2021/01/06 
2021/01/07 	135.5	135.5	130.0	135.0	49400	2021/01/07 
2021/01/08 	135.0	135.0	135.0	135.0	3000	2021/01/08 
2021/01/11 	134.5	135.0	134.0	134.5	24000	2021/01/11 
2021/01/12 	135.0	135.0	133.5	134.0	10200	2021/01/12 
2021/01/13 	135.0	136.5	135.0	135.5	31000	2021/01/13 
2021/01/14 	135.0	135.0	135.0	135.0	2000	2021/01/14 
2021/01/15 	135.0	137.0	135.0	136.0	36000	2021/01/15 
2021/01/18 	136.0	136.0	135.0	135.5	18011	2021/01/18 
2021/01/19 	135.5	136.0	135.0	135.5	31000	2021/01/19 
2021/01/20 	135.5	139.5	135.5	138.5	123330	2021/01/20 
2021/01/21 	138.0	145.0	137.0	144.0	170700	2021/01/21 
