Date	Open	High	Low	Close	Volume('000 shares)	Date
2013/07/23	21.7	21.8	21.6	21.6	1464.14	2013/7/23
2013/07/24	21.6	21.9	21.6	21.65	956.345	2013/7/24
2013/07/25	21.5	21.8	21.5	21.75	908.356	2013/7/25
2013/07/26	21.75	21.9	21.7	21.75	789.094	2013/7/26
2013/07/29	21.75	21.75	21.45	21.45	747.081	2013/7/29
2013/07/30	21.8	21.8	21.4	21.6	795.065	2013/7/30
2013/07/31	21.8	21.8	21.4	21.5	1083.299	2013/7/31
2013/08/01	21.5	21.65	21.3	21.3	3362.064	2013/8/1
2013/08/02	20	20.35	20	20.25	2234.069	2013/8/2
2013/08/05	20.3	20.55	20.25	20.25	1018.617	2013/8/5
2013/08/06	20.25	20.25	20.05	20.1	825.473	2013/8/6
2013/08/07	20	20.05	19.9	19.9	1011.54	2013/8/7
2013/08/08	20	20.1	19.9	20	549.793	2013/8/8
2013/08/09	20.1	20.15	19.9	19.9	706.153	2013/8/9
2013/08/12	19.9	20.1	19.9	20	638.264	2013/8/12
2013/08/13	20	20.45	20	20.35	1284.861	2013/8/13
2013/08/14	20.4	20.65	20.35	20.35	1189.935	2013/8/14
2013/08/15	20.25	20.45	20.05	20.05	1465.944	2013/8/15
2013/08/16	20	20.05	19.85	20.05	1587.454	2013/8/16
2013/08/19	20.05	20.2	19.9	20	721.49	2013/8/19
2013/08/20	20	20.05	19.9	19.9	920.107	2013/8/20
2013/08/22	19.9	20.05	19.85	19.95	590.439	2013/8/22
2013/08/23	19.95	20.1	19.9	19.9	908.851	2013/8/23
2013/08/26	19.9	20.05	19.85	19.95	601.631	2013/8/26
2013/08/27	19.95	20.1	19.9	19.9	679.951	2013/8/27
2013/08/28	19.8	19.8	18.9	19.05	2986.012	2013/8/28
2013/08/29	18.95	19.1	18.55	18.8	2200.27	2013/8/29
2013/08/30	18.8	18.8	18.55	18.6	1672.16	2013/8/30
2013/09/02	18.6	19.3	18.6	19.15	1666.732	2013/9/2
2013/09/03	19.15	19.35	19.1	19.2	1112.508	2013/9/3
2013/09/04	19.2	19.2	19.1	19.1	699.202	2013/9/4
2013/09/05	19.2	19.6	19.2	19.6	1687.791	2013/9/5
2013/09/06	19.75	20.25	19.65	19.95	3048.851	2013/9/6
2013/09/09	19.95	20	19.65	19.65	1188.608	2013/9/9
2013/09/10	19.65	20.1	19.65	19.7	1362	2013/9/10
2013/09/11	19.75	19.75	19.35	19.55	1341.689	2013/9/11
2013/09/12	19.65	19.8	19.55	19.7	1464.427	2013/9/12
2013/09/13	19.7	19.8	19.5	19.5	964.07	2013/9/13
2013/09/14	19.4	19.6	19.4	19.55	400.631	2013/9/14
2013/09/16	19.55	19.65	19.5	19.55	857.97	2013/9/16
2013/09/17	19.55	19.6	19.5	19.5	392.54	2013/9/17
2013/09/18	19.5	20.2	19.5	20.05	5143.66	2013/9/18
2013/09/23	20.1	20.25	20	20.1	2063.94	2013/9/23
2013/09/24	20.25	20.45	20.05	20.3	2052.447	2013/9/24
2013/09/25	20.5	21.7	20.5	21.7	12823.936	2013/9/25
2013/09/26	21.85	22.25	21.4	21.4	13251.216	2013/9/26
2013/09/27	21.9	22.4	21.8	21.95	9943.211	2013/9/27
2013/09/30	21.95	22.4	21.8	22.15	5438.213	2013/9/30
2013/10/01	22.15	22.15	21.6	21.7	4359.467	2013/10/1
2013/10/02	21.95	22.25	21.85	22.1	4857.035	2013/10/2
2013/10/03	22.15	22.2	21.75	21.95	3692.491	2013/10/3
2013/10/04	21.95	22.85	21.95	22.35	6398.912	2013/10/4
2013/10/07	22.45	22.5	21.85	22	3599.213	2013/10/7
2013/10/08	22	22.2	21.85	22.15	2656.555	2013/10/8
2013/10/09	22.2	22.35	21.6	21.6	3085.03	2013/10/9
