Date	Open	High	Low	Close	Volume('000 shares)	Date
2014/10/01	22.95	23.15	22.85	22.85	925.2	2014/10/1
2014/10/02	22.9	22.9	22.35	22.4	2501.927	2014/10/2
2014/10/03	22.2	22.7	21.8	22.25	4579.5	2014/10/3
2014/10/06	22.4	22.4	21.75	21.9	4095.977	2014/10/6
2014/10/07	21.9	22.2	21.85	21.95	1640.052	2014/10/7
2014/10/08	21.9	21.95	21.65	21.65	1397.194	2014/10/8
2014/10/09	21.8	21.9	21.15	21.15	2035.346	2014/10/9
2014/10/13	20.8	20.85	19.7	19.95	5578.231	2014/10/13
2014/10/14	19.95	20.25	19.75	20.15	2406.379	2014/10/14
2014/10/15	20.2	20.2	19.95	20.15	1116.984	2014/10/15
2014/10/16	20	20.1	19.6	20.05	1399.455	2014/10/16
2014/10/17	20.05	20.5	20	20.05	1619.069	2014/10/17
2014/10/20	20.35	20.45	20.2	20.4	808.379	2014/10/20
2014/10/21	20.4	20.4	20	20.1	1134.984	2014/10/21
2014/10/22	20.3	20.35	20.15	20.25	1872.496	2014/10/22
2014/10/23	20.4	20.4	20.1	20.2	684.823	2014/10/23
2014/10/24	20.4	20.4	20.05	20.1	984.894	2014/10/24
2014/10/27	20.1	20.15	19.6	19.9	1641.613	2014/10/27
2014/10/28	20.1	20.5	20.1	20.2	2172.869	2014/10/28
2014/10/29	20.45	20.45	19.95	20.2	2123.619	2014/10/29
2014/10/30	20.25	20.3	20	20	1587.704	2014/10/30
2014/10/31	20.15	20.25	20.05	20.15	1248.71	2014/10/31
2014/11/03	20.25	21.55	20.15	21.4	4723.374	2014/11/3
2014/11/04	21.4	21.4	20.85	20.9	3227.547	2014/11/4
2014/11/05	20.9	20.95	20.65	20.7	1099.206	2014/11/5
2014/11/06	20.7	21.2	20.7	20.85	2235.803	2014/11/6
2014/11/07	20.85	21	20.75	20.8	846.189	2014/11/7
2014/11/10	20.85	21.25	20.8	21	703.19	2014/11/10
2014/11/11	21.05	21.1	20.4	20.4	2138.863	2014/11/11
2014/11/12	20.3	20.55	20.05	20.1	1539.183	2014/11/12
2014/11/13	20.1	20.3	20.05	20.2	1028.236	2014/11/13
2014/11/14	20.2	20.3	20.1	20.15	883.067	2014/11/14
2014/11/17	20.2	20.3	20	20.05	805.921	2014/11/17
2014/11/18	20.2	20.2	19.55	19.8	1730.998	2014/11/18
2014/11/19	19.8	20.35	19.7	20.2	2363.855	2014/11/19
2014/11/20	20.3	20.55	20.1	20.1	3512.866	2014/11/20
2014/11/21	20.3	20.35	20.05	20.2	1207.23	2014/11/21
2014/11/24	20.25	21.2	20	20.8	5783.48	2014/11/24
2014/11/25	20.9	20.9	20.45	20.45	1908.262	2014/11/25
2014/11/26	20.5	20.55	20.15	20.2	2111.262	2014/11/26
2014/11/27	20.3	20.4	20.25	20.3	725.366	2014/11/27
2014/11/28	20.35	20.85	20.3	20.65	3050.847	2014/11/28
2014/12/01	20.3	20.9	20.3	20.9	1750.985	2014/12/1
2014/12/02	20.9	21.35	20.8	21.15	3365.507	2014/12/2
2014/12/03	21.4	21.4	20.9	21.05	3942.128	2014/12/3
2014/12/04	21.05	21.4	21	21.15	1750.515	2014/12/4
2014/12/05	21.2	21.85	21.2	21.8	3830.426	2014/12/5
2014/12/08	21.9	21.9	21.55	21.55	2471.336	2014/12/8
2014/12/09	21.55	21.7	21	21.1	2836.042	2014/12/9
2014/12/10	21	21.2	20.7	20.75	2506.179	2014/12/10
2014/12/11	20.75	20.95	20.65	20.85	1271.606	2014/12/11
2014/12/12	20.95	21.15	20.95	21.05	942.616	2014/12/12
2014/12/15	20.9	21.05	20.85	20.95	795.552	2014/12/15
2014/12/16	20.8	21	20.8	20.85	682.956	2014/12/16
2014/12/17	20.8	21.1	20.75	20.75	1223.556	2014/12/17
2014/12/18	21	21	20.65	20.65	1134.556	2014/12/18
2014/12/19	20.95	20.95	20.6	20.75	1516.943	2014/12/19
2014/12/22	20.85	21	20.85	21	1127.531	2014/12/22
2014/12/23	21.1	21.4	21.1	21.4	1896.366	2014/12/23
2014/12/24	21.5	21.65	21.3	21.6	2875.848	2014/12/24
2014/12/25	21.7	21.85	21.4	21.6	2272.67	2014/12/25
2014/12/26	21.7	21.9	21.5	21.6	1621.242	2014/12/26
2014/12/27	21.75	22.45	21.6	22.25	6221.001	2014/12/27
2014/12/29	22.3	22.45	22	22.05	2836.488	2014/12/29
2014/12/30	22.1	22.3	21.8	21.85	2021.086	2014/12/30
2014/12/31	21.85	22.1	21.8	21.95	1171.162	2014/12/31
2015/01/05	22.1	22.1	21.85	21.95	710.968	2015/1/5
2015/01/06	21.8	21.95	21.45	21.5	1783.286	2015/1/6
2015/01/07	21.5	21.75	21.4	21.7	741.941	2015/1/7
2015/01/08	21.8	21.95	21.7	21.75	1278.236	2015/1/8
2015/01/09	22	22.05	21.75	22	1674.771	2015/1/9
2015/01/12	22	22.3	21.85	22.15	2256.601	2015/1/12
2015/01/13	22.3	22.3	22	22.2	2230.248	2015/1/13
2015/01/14	22.25	22.3	22.1	22.2	1509.565	2015/1/14
2015/01/15	22.2	22.25	21.95	22	1596.847	2015/1/15
2015/01/16	22	22	21.75	21.8	1891.664	2015/1/16
2015/01/19	22	22.05	21.8	21.85	1507.4	2015/1/19
2015/01/20	21.9	22.15	21.8	22.05	1511.229	2015/1/20
2015/01/21	22.2	22.6	22.05	22.3	3106.816	2015/1/21
2015/01/22	22.4	22.45	22.2	22.3	2480.178	2015/1/22
2015/01/23	22.45	22.75	22.3	22.5	3498.145	2015/1/23
2015/01/26	22.5	22.7	22.25	22.3	2633.13	2015/1/26
2015/01/27	22.3	22.55	22.3	22.4	1863.408	2015/1/27
2015/01/28	22.35	22.6	22.3	22.4	1813.387	2015/1/28
2015/01/29	22.4	22.6	22.25	22.45	1871.055	2015/1/29
2015/01/30	22.45	22.45	22.2	22.3	1372.365	2015/1/30
2015/02/02	22.15	22.2	22.05	22.1	1388.897	2015/2/2
2015/02/03	22.1	22.35	22.05	22.1	1182.699	2015/2/3
2015/02/04	22.2	22.4	22.15	22.15	1195.106	2015/2/4
2015/02/05	22.15	22.35	22.15	22.25	739.234	2015/2/5
2015/02/06	22.25	22.4	22.15	22.3	764.672	2015/2/6
2015/02/09	22.2	22.4	22.2	22.4	917.943	2015/2/9
2015/02/10	22.4	22.5	22.35	22.4	729	2015/2/10
2015/02/11	22.4	22.45	22.1	22.25	1465.376	2015/2/11
2015/02/12	22.2	22.25	21.9	21.9	1406.338	2015/2/12
2015/02/13	21.85	22	21.8	21.9	1921.288	2015/2/13
2015/02/24	22	22.25	22	22.2	916.742	2015/2/24
2015/02/25	22.2	22.35	22	22.1	1421.35	2015/2/25
2015/02/26	22.2	22.2	21.8	21.8	1398.091	2015/2/26
2015/03/02	21.85	21.85	21.5	21.6	1535.546	2015/3/2
2015/03/03	21.5	21.7	21.45	21.5	1714.267	2015/3/3
2015/03/04	21.45	21.75	21.45	21.6	725.124	2015/3/4
2015/03/05	21.6	21.85	21.5	21.8	708.098	2015/3/5
2015/03/06	21.8	21.85	21.65	21.85	800.123	2015/3/6
2015/03/09	21.8	21.95	21.3	21.95	1203.978	2015/3/9
2015/03/10	21.7	22	21.65	21.85	1551.465	2015/3/10
2015/03/11	21.85	21.9	21.65	21.9	1078.878	2015/3/11
2015/03/12	21.9	22	21.9	21.95	590.881	2015/3/12
2015/03/13	21.95	22	21.5	21.65	830.851	2015/3/13
2015/03/16	21.55	21.7	21.45	21.6	933.454	2015/3/16
2015/03/17	21.6	21.8	21.25	21.3	1649.328	2015/3/17
2015/03/18	21.4	21.4	20.4	20.5	4619.968	2015/3/18
2015/03/19	20.5	20.7	20.5	20.6	1649.973	2015/3/19
2015/03/20	20.6	21.1	20.5	20.7	2762.926	2015/3/20
2015/03/23	21	21.1	20.75	21.05	2146.298	2015/3/23
2015/03/24	21	21.05	20.5	20.6	1828.4	2015/3/24
2015/03/25	20.6	20.75	20.3	20.45	1845.949	2015/3/25
2015/03/26	20.35	20.5	20.35	20.5	904.392	2015/3/26
2015/03/27	20.65	20.65	20.35	20.4	967.649	2015/3/27
2015/03/30	20.45	20.6	20.3	20.4	803.465	2015/3/30
2015/03/31	20.45	20.6	20.45	20.55	732.326	2015/3/31
2015/04/01	20.6	20.7	20.45	20.6	644.014	2015/4/1
2015/04/02	20.6	20.7	20.5	20.6	799.069	2015/4/2
2015/04/07	20.65	20.7	20.35	20.5	1302.579	2015/4/7
2015/04/08	20.5	20.85	20.45	20.6	2201.041	2015/4/8
2015/04/09	20.75	21.35	20.75	20.9	2679.423	2015/4/9
2015/04/10	21.15	21.9	21.15	21.5	4897.861	2015/4/10
2015/04/13	21.7	22.4	21.7	22.25	6029.293	2015/4/13
2015/04/14	22.25	22.25	21.85	22.05	3935.24	2015/4/14
2015/04/15	22	22.2	21.9	21.95	2306.825	2015/4/15
2015/04/16	21.9	22.05	21.55	21.75	3268.461	2015/4/16
2015/04/17	21.7	22.3	21.6	22.05	4161.72	2015/4/17
2015/04/20	22.2	23.2	21.75	22.7	6661.511	2015/4/20
2015/04/21	23	23.35	22.6	22.75	7881.65	2015/4/21
2015/04/22	23	23.2	22.45	22.9	4341.08	2015/4/22
2015/04/23	23.05	23.45	23	23.05	4282.856	2015/4/23
2015/04/24	23.15	23.2	22.85	22.95	3534.424	2015/4/24
2015/04/27	22.9	23.65	22.9	23.15	4545.761	2015/4/27
2015/04/28	23.3	23.35	22.9	23.15	1852.563	2015/4/28
2015/04/29	23.15	23.25	22.75	23	2359.241	2015/4/29
2015/04/30	23	23.15	22.6	22.9	1834	2015/4/30
2015/05/04	23.2	23.9	23.05	23.5	4602.508	2015/5/4
2015/05/05	23.65	23.7	23.15	23.5	2523.174	2015/5/5
2015/05/06	23.2	23.5	23.05	23.4	2952.274	2015/5/6
2015/05/07	23.35	23.35	22.95	22.95	1400.279	2015/5/7
2015/05/08	23	23.15	22.8	23.05	1594.011	2015/5/8
2015/05/11	23.25	23.25	22.15	22.2	2537.68	2015/5/11
2015/05/12	22.35	22.75	22.3	22.75	1562.353	2015/5/12
2015/05/13	22.7	22.85	22.45	22.65	779.283	2015/5/13
2015/05/14	23.05	23.4	22.9	23	3145.962	2015/5/14
2015/05/15	23.2	23.2	22.95	22.95	1448.645	2015/5/15
2015/05/18	22.95	23.05	22.85	23	903.386	2015/5/18
2015/05/19	23	23.3	22.85	23.25	1947.085	2015/5/19
2015/05/20	23.3	24	23.3	23.65	4437.171	2015/5/20
2015/05/21	23.5	23.5	23	23.4	2921.085	2015/5/21
2015/05/22	23.35	23.45	22.95	23	2228.962	2015/5/22
2015/05/25	22.9	23.1	22.65	22.9	2098.013	2015/5/25
2015/05/26	23	23.05	22.65	22.75	1422.494	2015/5/26
2015/05/27	22.8	23.1	22.7	22.95	1835.771	2015/5/27
2015/05/28	23.05	23.15	22.75	22.8	1771.128	2015/5/28
2015/05/29	22.85	23	22.8	22.8	1240.98	2015/5/29
2015/06/01	22.8	23.45	22.8	23.2	2728.966	2015/6/1
2015/06/02	23.2	23.85	23.1	23.55	4618.979	2015/6/2
2015/06/03	23.7	23.8	22.4	22.65	4466.851	2015/6/3
2015/06/04	22.6	22.85	22.05	22.25	3075.961	2015/6/4
2015/06/05	22.2	22.2	21.6	21.7	2743.921	2015/6/5
2015/06/08	21.8	21.95	21.3	21.9	1548.406	2015/6/8
2015/06/09	21.9	21.9	21	21.15	1917.116	2015/6/9
2015/06/10	21.2	21.7	21.2	21.7	816.727	2015/6/10
2015/06/11	21.5	21.7	21.3	21.5	938.151	2015/6/11
2015/06/12	21.55	21.6	21.4	21.5	515.338	2015/6/12
2015/06/15	21.4	21.55	21.35	21.35	310.056	2015/6/15
2015/06/16	21.3	21.6	21.05	21.25	1389.359	2015/6/16
2015/06/17	21.25	21.45	20.7	20.8	1325.019	2015/6/17
2015/06/18	20.95	21	20.7	20.95	830.826	2015/6/18
2015/06/22	20.95	21.25	20.95	20.95	784.132	2015/6/22
2015/06/23	21.2	21.55	21.2	21.55	947.433	2015/6/23
2015/06/24	21.55	21.6	21.4	21.4	477.662	2015/6/24
2015/06/25	21.4	21.6	21.25	21.25	600.469	2015/6/25
2015/06/26	21.3	21.5	21.3	21.35	561.596	2015/6/26
2015/06/29	21.25	21.25	20.5	20.8	1767.66	2015/6/29
2015/06/30	20.6	20.95	20.5	20.95	983.58	2015/6/30
2015/07/01	20.85	20.95	20.8	20.85	1089.093	2015/7/1
2015/07/02	20.85	20.95	20.4	20.5	2908.691	2015/7/2
2015/07/03	20.55	20.6	20.2	20.45	2141.845	2015/7/3
2015/07/06	20.45	20.6	20.3	20.3	1050.08	2015/7/6
2015/07/07	20.35	20.55	20.25	20.3	950.725	2015/7/7
2015/07/08	20.3	20.3	18.9	19.3	5042.434	2015/7/8
2015/07/09	19.3	19.3	18.6	19.2	1852.373	2015/7/9
2015/07/13	19.2	19.45	19.1	19.2	2097.307	2015/7/13
2015/07/14	19.3	19.45	19.15	19.15	1897.286	2015/7/14
2015/07/15	19.05	19.15	18.75	18.85	4966.261	2015/7/15
2015/07/16	18.1	18.55	18.1	18.3	3019.441	2015/7/16
2015/07/17	18.45	18.7	18.35	18.6	2195.601	2015/7/17
2015/07/20	18.6	18.75	18.45	18.55	1353.509	2015/7/20
2015/07/21	18.75	18.9	18.3	18.55	2779.199	2015/7/21
2015/07/22	18.4	19.3	18.4	18.45	5368.45	2015/7/22
2015/07/23	18.5	18.6	18	18.1	2253.007	2015/7/23
2015/07/24	18	18.2	17.35	17.7	3672.303	2015/7/24
2015/07/27	17.7	17.7	16.75	17.3	4541.691	2015/7/27
2015/07/28	17.1	17.2	16.6	16.7	3080.78	2015/7/28
2015/07/29	16.7	16.9	16.3	16.3	4204.19	2015/7/29
2015/07/30	16.4	16.75	16.15	16.75	3345.333	2015/7/30
2015/07/31	16.75	16.75	16.15	16.15	3234.524	2015/7/31
2015/08/03	16.1	16.1	15.3	15.3	3522.519	2015/8/3
2015/08/04	15.4	15.6	14.55	14.8	4569.119	2015/8/4
2015/08/05	15	15.2	14.8	15.2	2937.246	2015/8/5
2015/08/06	15.45	15.65	15	15.05	3130.565	2015/8/6
2015/08/07	15.05	15.25	14.95	15.2	1482.042	2015/8/7
2015/08/10	15.4	15.9	15.25	15.85	2905.44	2015/8/10
2015/08/11	15.95	16.4	15.9	16.25	4821.268	2015/8/11
2015/08/12	16.2	16.2	15.8	16.1	2235.031	2015/8/12
2015/08/13	16.3	16.4	16	16.1	1652.432	2015/8/13
2015/08/14	16.2	16.25	15.9	15.95	1633.848	2015/8/14
2015/08/17	16	16.15	15.9	16.05	858.059	2015/8/17
2015/08/18	16.15	16.15	15.95	15.95	964.887	2015/8/18
2015/08/19	16	16	15.5	15.85	2275.856	2015/8/19
2015/08/20	15.8	15.8	15.35	15.55	1662.853	2015/8/20
2015/08/21	15.35	15.4	14.95	15.05	2220.286	2015/8/21
2015/08/24	14.65	14.7	13.8	13.85	4539.836	2015/8/24
2015/08/25	13.6	14.4	13.6	14.4	1766.005	2015/8/25
2015/08/26	14.4	14.65	14.2	14.55	1194.633	2015/8/26
2015/08/27	14.7	15.2	14.7	15.05	1902.774	2015/8/27
2015/08/28	15.15	15.6	15.1	15.6	1876.261	2015/8/28
2015/08/31	15.75	15.75	15.25	15.7	1425.098	2015/8/31
2015/09/01	15.65	15.75	15.35	15.4	1693.439	2015/9/1
2015/09/02	15.2	15.45	15.1	15.4	1057.199	2015/9/2
2015/09/03	15.5	15.85	15.5	15.8	1076.982	2015/9/3
2015/09/04	15.8	15.8	15.45	15.5	1043.624	2015/9/4
2015/09/07	15.45	15.6	15.4	15.6	615.502	2015/9/7
2015/09/08	15.75	15.75	15.45	15.45	1143.931	2015/9/8
2015/09/09	15.65	16.05	15.65	15.95	2510.623	2015/9/9
2015/09/10	16	16.2	15.9	16.2	1589.621	2015/9/10
2015/09/11	16.05	16.7	16.05	16.6	3211.977	2015/9/11
2015/09/14	16.6	16.8	16.55	16.6	1684.54	2015/9/14
2015/09/15	16.55	16.55	16.35	16.5	850.489	2015/9/15
2015/09/16	16.5	16.65	16.5	16.6	695.65	2015/9/16
2015/09/17	16.65	16.7	16.6	16.6	1825.377	2015/9/17
2015/09/18	16.6	16.95	16.45	16.85	2014.334	2015/9/18
2015/09/21	16.65	16.65	16.45	16.6	1122.581	2015/9/21
2015/09/22	16.6	17	16.5	17	2283.768	2015/9/22
2015/09/23	16.8	16.8	16.5	16.6	1352.848	2015/9/23
2015/09/24	16.8	17.65	16.8	17.2	8247.226	2015/9/24
2015/09/25	17.2	17.25	16.9	17	1921.05	2015/9/25
2015/09/30	17	17.3	16.85	17	1594.376	2015/9/30
2015/10/01	17	17.15	16.95	16.95	2898.212	2015/10/1
2015/10/02	17	17.1	16.9	16.9	1619.401	2015/10/2
2015/10/05	17.05	17.2	16.95	17.1	2318.14	2015/10/5
2015/10/06	17.15	17.2	16.85	16.85	2929.651	2015/10/6
2015/10/07	16.85	17	16.8	16.95	3059.244	2015/10/7
2015/10/08	17.05	17.05	16.55	16.55	2670.951	2015/10/8
2015/10/12	16.3	16.3	16.1	16.15	4877.852	2015/10/12
2015/10/13	16.3	16.7	16.25	16.7	4057.335	2015/10/13
2015/10/14	16.75	16.9	16.65	16.8	3559.15	2015/10/14
2015/10/15	16.85	17.1	16.85	17	3187.48	2015/10/15
2015/10/16	17.15	17.55	17.15	17.25	4724.912	2015/10/16
2015/10/19	17.35	17.75	17.3	17.75	3692.655	2015/10/19
2015/10/20	17.75	18	17.6	17.8	3166.029	2015/10/20
2015/10/21	17.85	17.85	17.5	17.65	2385.686	2015/10/21
2015/10/22	17.65	17.85	17.5	17.65	2174.894	2015/10/22
2015/10/23	17.8	17.8	17.6	17.65	1839.07	2015/10/23
2015/10/26	17.65	17.85	17.65	17.8	1962.301	2015/10/26
2015/10/27	17.8	17.8	17.4	17.45	1338.239	2015/10/27
2015/10/28	17.45	17.45	17.05	17.05	2052.248	2015/10/28
2015/10/29	17.2	17.25	16.95	17.05	1628.227	2015/10/29
2015/10/30	17.1	17.25	16.85	17.25	1645.448	2015/10/30
2015/11/02	17.25	17.35	17.1	17.3	1224.804	2015/11/2
2015/11/03	17.35	17.4	17.2	17.25	892.333	2015/11/3
2015/11/04	17.35	17.75	17.3	17.65	2926.59	2015/11/4
2015/11/05	17.6	17.6	17.35	17.5	1307.554	2015/11/5
2015/11/06	17.5	17.5	17.15	17.2	2092.096	2015/11/6
2015/11/09	17.2	17.25	16.7	16.8	2569.366	2015/11/9
2015/11/10	16.7	16.9	16.5	16.75	1944.727	2015/11/10
2015/11/11	16.9	17	16.6	16.6	2774.756	2015/11/11
2015/11/12	16.7	16.95	16.7	16.75	2291.067	2015/11/12
2015/11/13	16.85	16.95	16.7	16.85	1783.967	2015/11/13
2015/11/16	16.8	16.85	16.55	16.85	1406.664	2015/11/16
2015/11/17	16.85	17.2	16.85	17.15	2242.217	2015/11/17
2015/11/18	17.2	17.25	17	17.2	1166.11	2015/11/18
2015/11/19	17.25	17.4	17.15	17.35	2047.263	2015/11/19
2015/11/20	17.45	17.6	17.35	17.55	2958.817	2015/11/20
2015/11/23	17.6	17.6	17.4	17.55	1553.445	2015/11/23
2015/11/24	17.5	17.5	17.05	17.05	1787.479	2015/11/24
2015/11/25	17.05	17.2	17	17.1	993.083	2015/11/25
2015/11/26	17.15	17.25	17.05	17.15	1557.055	2015/11/26
2015/11/27	17.15	17.9	17.05	17.85	8764.47	2015/11/27
2015/11/30	17.65	17.65	17.35	17.5	2597.39	2015/11/30
2015/12/01	17.55	17.7	17.5	17.6	1687.808	2015/12/1
2015/12/02	17.6	17.85	17.5	17.65	2815.657	2015/12/2
2015/12/03	17.65	17.75	17.6	17.65	1295.02	2015/12/3
2015/12/04	17.6	17.6	17.45	17.5	1426.352	2015/12/4
2015/12/07	17.95	19.25	17.9	19.25	11069.667	2015/12/7
2015/12/08	19.35	19.65	18.3	18.3	12239.78	2015/12/8
2015/12/09	18.4	18.75	18.15	18.15	8229.947	2015/12/9
2015/12/10	18.2	18.4	18.1	18.3	4086.912	2015/12/10
2015/12/11	18	18	16.8	16.8	8496.509	2015/12/11
2015/12/14	16.5	16.75	16.25	16.65	2821.56	2015/12/14
2015/12/15	16.7	16.85	16.5	16.7	2185.182	2015/12/15
2015/12/16	16.85	17	16.7	16.85	1444.943	2015/12/16
2015/12/17	17.2	17.2	16.95	16.95	1599.167	2015/12/17
2015/12/18	16.95	17.2	16.95	17.2	1162.331	2015/12/18
2015/12/21	17.05	17.3	16.9	17.1	1667.879	2015/12/21
2015/12/22	17.25	17.25	17	17.2	1115.502	2015/12/22
2015/12/23	17.25	18	17.15	17.8	4626.835	2015/12/23
2015/12/24	17.8	18.05	17.5	17.5	3546.543	2015/12/24
2015/12/25	17.65	17.9	17.6	17.75	1914.309	2015/12/25
2015/12/28	17.8	17.85	17.4	17.45	2636.096	2015/12/28
2015/12/29	17.5	17.8	17.4	17.5	1684	2015/12/29
2015/12/30	17.6	17.95	17.5	17.8	3217.11	2015/12/30
2015/12/31	18.05	18.75	17.95	17.95	7799.923	2015/12/31
2016/01/04	17.95	17.95	17.5	17.5	2844.399	2016/1/4
2016/01/05	17.5	17.7	17.4	17.55	1950	2016/1/5
2016/01/06	17.65	17.7	17.25	17.25	1955.49	2016/1/6
2016/01/07	17.2	17.35	16.55	16.7	3771.686	2016/1/7
2016/01/08	16.7	17.05	16.7	17	1167.951	2016/1/8
2016/01/11	16.8	16.85	16.6	16.6	1448.332	2016/1/11
2016/01/12	16.65	16.8	16.4	16.45	928.537	2016/1/12
2016/01/13	16.55	16.7	16.45	16.55	721.015	2016/1/13
2016/01/14	16.35	16.5	16.2	16.4	1307.638	2016/1/14
2016/01/15	16.6	16.7	16.5	16.6	1182.939	2016/1/15
2016/01/18	16.4	16.85	16.35	16.8	983.334	2016/1/18
2016/01/19	16.85	17.1	16.85	16.9	1004.45	2016/1/19
2016/01/20	16.9	16.9	16.5	16.5	863.16	2016/1/20
2016/01/21	16.4	16.65	16.4	16.5	525.693	2016/1/21
2016/01/22	16.75	16.95	16.6	16.6	897.852	2016/1/22
2016/01/25	16.7	17	16.65	16.75	962.193	2016/1/25
2016/01/26	16.75	16.9	16.75	16.8	594.13	2016/1/26
2016/01/27	16.95	17.2	16.85	16.85	1505.89	2016/1/27
2016/01/28	16.85	16.95	16.8	16.85	763.905	2016/1/28
2016/01/29	16.85	17	16.8	16.85	1288.542	2016/1/29
2016/01/30	17	17.1	16.9	17	1130.899	2016/1/30
2016/02/01	17.1	17.1	16.8	16.9	1308.064	2016/2/1
2016/02/02	16.9	17.1	16.7	16.95	1442.82	2016/2/2
2016/02/03	16.85	16.9	16.6	16.7	1776.403	2016/2/3
2016/02/15	16.7	17.1	16.7	16.8	2247.977	2016/2/15
2016/02/16	16.9	18.45	16.9	17.8	10660.149	2016/2/16
2016/02/17	17.8	18	17.35	17.45	4923.278	2016/2/17
2016/02/18	17.55	18.1	17.55	17.8	3764.292	2016/2/18
2016/02/19	17.9	18.05	17.75	17.85	2711.615	2016/2/19
2016/02/22	17.95	18.2	17.85	17.95	3941.014	2016/2/22
2016/02/23	18.3	18.75	18.25	18.5	9769.95	2016/2/23
2016/02/24	18.7	18.75	18.15	18.25	4848.629	2016/2/24
2016/02/25	18.35	18.4	18.15	18.15	2524.979	2016/2/25
2016/02/26	18.25	18.5	18.2	18.3	2190.685	2016/2/26
2016/03/01	18.3	18.55	18.2	18.3	3494.126	2016/3/1
2016/03/02	18.5	18.7	18.4	18.5	5228.313	2016/3/2
2016/03/03	18.75	19.25	18.5	18.6	5918.218	2016/3/3
2016/03/04	18.6	18.85	18.35	18.45	4644.976	2016/3/4
2016/03/07	18.6	19.1	18.6	18.9	7554.594	2016/3/7
2016/03/08	19.25	19.6	18.85	19.15	11281.259	2016/3/8
2016/03/09	19.2	19.4	18.9	19	10189	2016/3/9
2016/03/10	19.1	19.25	18.8	19.05	6510.39	2016/3/10
2016/03/11	19	19.05	18.75	18.8	4261.338	2016/3/11
2016/03/14	19	19.05	18.65	18.65	4532.367	2016/3/14
2016/03/15	18.6	18.7	18.05	18.1	4408.083	2016/3/15
2016/03/16	18.15	18.35	18.1	18.2	1841.418	2016/3/16
2016/03/17	18.35	18.5	17.95	18	2794.552	2016/3/17
2016/03/18	18.2	18.25	18.1	18.2	1761.637	2016/3/18
2016/03/21	18.2	18.4	18.05	18.2	1345.228	2016/3/21
2016/03/22	18.2	18.35	18.15	18.25	1415.675	2016/3/22
2016/03/23	18.3	18.3	18.1	18.1	1171.811	2016/3/23
2016/03/24	18.2	18.2	17.9	18.05	1569.953	2016/3/24
2016/03/25	18	18.2	17.9	18	1215	2016/3/25
2016/03/28	18.1	18.1	17.8	17.85	1430.882	2016/3/28
2016/03/29	17.85	17.85	17.4	17.5	2802.025	2016/3/29
2016/03/30	17.6	17.8	17.5	17.7	1511.661	2016/3/30
2016/03/31	17.8	17.95	17.7	17.9	1053.465	2016/3/31
2016/04/01	17.9	17.95	17.75	17.9	794.982	2016/4/1
2016/04/06	17.9	17.9	17.65	17.7	1155.66	2016/4/6
2016/04/07	17.8	17.9	17.75	17.9	1017.611	2016/4/7
2016/04/08	17.8	18	17.7	18	1031.3	2016/4/8
2016/04/11	17.95	17.95	17.65	17.8	1153.639	2016/4/11
2016/04/12	17.8	17.95	17.7	17.8	1267.017	2016/4/12
2016/04/13	17.9	18.1	17.9	18.05	2113.989	2016/4/13
2016/04/14	18.2	18.9	18.2	18.85	8642.761	2016/4/14
2016/04/15	18.65	18.75	18.5	18.5	3916.819	2016/4/15
2016/04/18	18.5	18.75	18.35	18.5	1766.65	2016/4/18
2016/04/19	18.65	18.7	18.2	18.25	2403.433	2016/4/19
2016/04/20	18.4	18.4	17.85	17.9	2164.264	2016/4/20
2016/04/21	18.05	18.2	17.9	18.15	2200.701	2016/4/21
2016/04/22	18.15	18.3	17.95	18	2858.436	2016/4/22
2016/04/25	18	18.25	17.9	18.05	1658.932	2016/4/25
2016/04/26	18.25	18.25	18.05	18.1	1044.083	2016/4/26
2016/04/27	18.1	18.15	18	18.05	691.052	2016/4/27
2016/04/28	18.15	18.2	17.95	18.05	1124.958	2016/4/28
2016/04/29	18	18	17.65	17.65	2026.777	2016/4/29
2016/05/03	17.75	17.8	17.55	17.55	1278.883	2016/5/3
2016/05/04	17.55	17.55	17.1	17.15	1926.275	2016/5/4
2016/05/05	17.15	17.2	16.8	17	1529.255	2016/5/5
2016/05/06	17.1	17.1	16.75	16.95	1215.82	2016/5/6
2016/05/09	16.9	16.95	16.7	16.7	1065	2016/5/9
2016/05/10	16.7	16.75	16.4	16.6	1429.151	2016/5/10
2016/05/11	16.7	16.7	16.35	16.4	1329.4	2016/5/11
2016/05/12	16.25	16.4	15.8	15.9	2193.251	2016/5/12
2016/05/13	15.8	15.8	15.4	15.5	2363.202	2016/5/13
2016/05/16	15.4	15.65	15.1	15.6	1190.407	2016/5/16
2016/05/17	15.6	16.2	15.45	15.95	1652.425	2016/5/17
2016/05/18	15.9	15.95	15.75	15.9	634.099	2016/5/18
2016/05/19	16	16	15.7	15.8	535.406	2016/5/19
2016/05/20	15.8	15.9	15.65	15.9	426.848	2016/5/20
2016/05/23	15.9	16.4	15.8	16.25	1634.224	2016/5/23
2016/05/24	16.2	16.2	15.9	16.1	743.111	2016/5/24
2016/05/25	16.1	16.15	16	16.05	949.906	2016/5/25
2016/05/26	16.05	16.15	16	16	926.282	2016/5/26
2016/05/27	16	16.25	16	16.05	966.367	2016/5/27
2016/05/30	16	16.1	15.85	16	1036.731	2016/5/30
2016/05/31	15.9	16.05	15.8	15.95	1022.545	2016/5/31
